order_id,customer_id,order_status,order_purchase_timestamp,order_approved_at,order_delivered_carrier_date,order_delivered_customer_date,order_estimated_delivery_date
170222,KALLAPPA ANNA AWADE BANK KARAD,delivered,19-09-1995,19-09-1995,19-09-1995,19-09-1995,19-09-1995
170223,KALLAPPA ANNA AWADE BANK KARAD,delivered,19-09-1995,19-09-1995,19-09-1995,19-09-1995,19-09-1995
170224,KALLAPPA ANNA AWADE BANK KARAD,delivered,19-09-1995,19-09-1995,19-09-1995,19-09-1995,19-09-1995
170225,KALLAPPA ANNA AWADE BANK KARAD,delivered,19-09-1995,19-09-1995,19-09-1995,19-09-1995,19-09-1995
170226,KALLAPPA ANNA AWADE BANK KARAD,delivered,19-09-1995,19-09-1995,19-09-1995,19-09-1995,19-09-1995
170227,KALLAPPA ANNA AWADE BANK KARAD,delivered,19-09-1995,19-09-1995,19-09-1995,19-09-1995,19-09-1995
170228,KALLAPPA ANNA AWADE BANK KARAD,delivered,21-09-1995,21-09-1995,21-09-1995,21-09-1995,21-09-1995
170229,KALLAPPA ANNA AWADE BANK KARAD,delivered,22-09-1995,22-09-1995,22-09-1995,22-09-1995,22-09-1995
170230,KALLAPPA ANNA AWADE BANK KARAD,delivered,22-09-1995,22-09-1995,22-09-1995,22-09-1995,22-09-1995
170231,KALLAPPA ANNA AWADE BANK KARAD,delivered,22-09-1995,22-09-1995,22-09-1995,22-09-1995,22-09-1995
170232,KALLAPPA ANNA AWADE BANK KARAD,delivered,22-09-1995,22-09-1995,22-09-1995,22-09-1995,22-09-1995
170233,KALLAPPA ANNA AWADE BANK KARAD,delivered,22-09-1995,22-09-1995,22-09-1995,22-09-1995,22-09-1995
170234,KALLAPPA ANNA AWADE BANK KARAD,delivered,25-09-1995,25-09-1995,25-09-1995,25-09-1995,25-09-1995
170235,KALLAPPA ANNA AWADE BANK KARAD,delivered,25-09-1995,25-09-1995,25-09-1995,25-09-1995,25-09-1995
170236,KALLAPPA ANNA AWADE BANK KARAD,delivered,26-09-1995,26-09-1995,26-09-1995,26-09-1995,26-09-1995
170237,KALLAPPA ANNA AWADE BANK KARAD,delivered,27-09-1995,27-09-1995,27-09-1995,27-09-1995,27-09-1995
170238,KALLAPPA ANNA AWADE BANK KARAD,delivered,28-09-1995,28-09-1995,28-09-1995,28-09-1995,28-09-1995
170239,KALLAPPA ANNA AWADE BANK KARAD,delivered,28-09-1995,28-09-1995,28-09-1995,28-09-1995,28-09-1995
170240,KALLAPPA ANNA AWADE BANK KARAD,delivered,28-09-1995,28-09-1995,28-09-1995,28-09-1995,28-09-1995
170241,KALLAPPA ANNA AWADE BANK KARAD,delivered,29-09-1995,29-09-1995,29-09-1995,29-09-1995,29-09-1995
170242,KALLAPPA ANNA AWADE BANK KARAD,delivered,29-09-1995,29-09-1995,29-09-1995,29-09-1995,29-09-1995
170243,KALLAPPA ANNA AWADE BANK KARAD,delivered,29-09-1995,29-09-1995,29-09-1995,29-09-1995,29-09-1995
164350,INDIAN OVERSES BANK KARAD,delivered,01-07-1995,01-07-1995,01-07-1995,01-07-1995,01-07-1995
164351,INDIAN OVERSES BANK KARAD,delivered,02-07-1995,02-07-1995,02-07-1995,02-07-1995,02-07-1995
164352,INDIAN OVERSES BANK KARAD,delivered,10-07-1995,10-07-1995,10-07-1995,10-07-1995,10-07-1995
164353,INDIAN OVERSES BANK KARAD,delivered,12-07-1995,12-07-1995,12-07-1995,12-07-1995,12-07-1995
164354,INDIAN OVERSES BANK KARAD,delivered,12-07-1995,12-07-1995,12-07-1995,12-07-1995,12-07-1995
164355,INDIAN OVERSES BANK KARAD,delivered,12-07-1995,12-07-1995,12-07-1995,12-07-1995,12-07-1995
164356,INDIAN OVERSES BANK KARAD,delivered,12-07-1995,12-07-1995,12-07-1995,12-07-1995,12-07-1995
164357,INDIAN OVERSES BANK KARAD,delivered,17-07-1995,17-07-1995,17-07-1995,17-07-1995,17-07-1995
164358,INDIAN OVERSES BANK KARAD,delivered,21-07-1995,21-07-1995,21-07-1995,21-07-1995,21-07-1995
164359,INDIAN OVERSES BANK KARAD,delivered,21-07-1995,21-07-1995,21-07-1995,21-07-1995,21-07-1995
164360,INDIAN OVERSES BANK KARAD,delivered,25-07-1995,25-07-1995,25-07-1995,25-07-1995,25-07-1995
164361,INDIAN OVERSES BANK KARAD,delivered,25-07-1995,25-07-1995,25-07-1995,25-07-1995,25-07-1995
164362,INDIAN OVERSES BANK KARAD,delivered,26-07-1995,26-07-1995,26-07-1995,26-07-1995,26-07-1995
164363,INDIAN OVERSES BANK KARAD,delivered,26-07-1995,26-07-1995,26-07-1995,26-07-1995,26-07-1995
164364,INDIAN OVERSES BANK KARAD,delivered,28-07-1995,28-07-1995,28-07-1995,28-07-1995,28-07-1995
164365,INDIAN OVERSES BANK KARAD,delivered,01-08-1995,01-08-1995,01-08-1995,01-08-1995,01-08-1995
164366,INDIAN OVERSES BANK KARAD,delivered,01-08-1995,01-08-1995,01-08-1995,01-08-1995,01-08-1995
164367,INDIAN OVERSES BANK KARAD,delivered,02-08-1995,02-08-1995,02-08-1995,02-08-1995,02-08-1995
164368,INDIAN OVERSES BANK KARAD,delivered,04-08-1995,04-08-1995,04-08-1995,04-08-1995,04-08-1995
164369,INDIAN OVERSES BANK KARAD,delivered,04-08-1995,04-08-1995,04-08-1995,04-08-1995,04-08-1995
164370,INDIAN OVERSES BANK KARAD,delivered,04-08-1995,04-08-1995,04-08-1995,04-08-1995,04-08-1995
164371,INDIAN OVERSES BANK KARAD,delivered,07-08-1995,07-08-1995,07-08-1995,07-08-1995,07-08-1995
164372,INDIAN OVERSES BANK KARAD,delivered,10-08-1995,10-08-1995,10-08-1995,10-08-1995,10-08-1995
164373,INDIAN OVERSES BANK KARAD,delivered,10-08-1995,10-08-1995,10-08-1995,10-08-1995,10-08-1995
164374,INDIAN OVERSES BANK KARAD,delivered,10-08-1995,10-08-1995,10-08-1995,10-08-1995,10-08-1995
